downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0008,-120,0.1,0.95667,9.7687
16000,0.0008,-120,0.12,0.94444,9.5977
16000,0.0008,-120,0.14,0.93556,9.9749
16000,0.0008,-120,0.16,0.92222,10.835
16000,0.0008,-120,0.18,0.90333,11.191
16000,0.0008,-120,0.2,0.87667,10.358
16000,0.0008,-110,0.02,0.97,10.703
16000,0.0008,-110,0.04,0.95556,10.345
16000,0.0008,-110,0.06,0.94778,10.019
16000,0.0008,-110,0.08,0.94,9.9144
16000,0.0008,-110,0.1,0.92222,9.8325
16000,0.0008,-110,0.12,0.91111,9.7887
16000,0.0008,-110,0.14,0.87889,9.6384
16000,0.0008,-110,0.16,0.84778,9.7596
16000,0.0008,-110,0.18,0.81333,9.774
16000,0.0008,-110,0.2,0.78556,9.9637
16000,0.0008,-100,0.02,0.94444,10.144
16000,0.0008,-100,0.04,0.92778,9.9308
16000,0.0008,-100,0.06,0.9,9.8507
16000,0.0008,-100,0.08,0.87111,9.8
16000,0.0008,-100,0.1,0.84667,9.8667
16000,0.0008,-100,0.12,0.81667,9.7226
16000,0.0008,-100,0.14,0.78444,9.6352
16000,0.0008,-100,0.16,0.74889,9.6618
16000,0.0008,-100,0.18,0.71556,9.6988
16000,0.0008,-100,0.2,0.66111,9.6943
16000,0.0008,-90,0.02,0.89111,9.7745
16000,0.0008,-90,0.04,0.85222,10.046
16000,0.0008,-90,0.06,0.83,10.172
16000,0.0008,-90,0.08,0.79111,10.737
16000,0.0008,-90,0.1,0.75,10.325
16000,0.0008,-90,0.12,0.69778,10.242
16000,0.0008,-90,0.14,0.64556,10.313
16000,0.0008,-90,0.16,0.60333,10.051
16000,0.0008,-90,0.18,0.55,10.073
16000,0.0008,-90,0.2,0.50333,9.9224
16000,0.0008,-80,0.02,0.81444,9.7271
16000,0.0008,-80,0.04,0.75556,9.6918
16000,0.0008,-80,0.06,0.70222,9.7031
16000,0.0008,-80,0.08,0.64444,9.6907
16000,0.0008,-80,0.1,0.58778,9.7825
16000,0.0008,-80,0.12,0.53222,9.645
16000,0.0008,-80,0.14,0.47556,9.6528
16000,0.0008,-80,0.16,0.43333,9.778
16000,0.0008,-80,0.18,0.39111,9.7373
16000,0.0008,-80,0.2,0.35667,10.004
16000,0.0009,-120,0.02,0.98222,9.7939
16000,0.0009,-120,0.04,0.97556,9.8032
16000,0.0009,-120,0.06,0.96333,9.8447
16000,0.0009,-120,0.08,0.96,9.8484
16000,0.0009,-120,0.1,0.95667,9.7662
16000,0.0009,-120,0.12,0.94111,9.5123
16000,0.0009,-120,0.14,0.93111,9.56
16000,0.0009,-120,0.16,0.92111,9.5237
16000,0.0009,-120,0.18,0.89,9.6436
16000,0.0009,-120,0.2,0.86333,9.6464
16000,0.0009,-110,0.02,0.96667,9.5847
16000,0.0009,-110,0.04,0.95111,9.7262
16000,0.0009,-110,0.06,0.94556,9.6553
16000,0.0009,-110,0.08,0.93222,9.6691
16000,0.0009,-110,0.1,0.91667,10.411
16000,0.0009,-110,0.12,0.89444,9.878
16000,0.0009,-110,0.14,0.87,10.014
16000,0.0009,-110,0.16,0.84,10.243
16000,0.0009,-110,0.18,0.8,10.167
16000,0.0009,-110,0.2,0.77556,9.8733
16000,0.0009,-100,0.02,0.94333,9.8899
16000,0.0009,-100,0.04,0.92222,9.8954
16000,0.0009,-100,0.06,0.88889,10.03
16000,0.0009,-100,0.08,0.86778,9.8266
16000,0.0009,-100,0.1,0.83556,9.8045
16000,0.0009,-100,0.12,0.80667,9.7946
16000,0.0009,-100,0.14,0.77,9.794
16000,0.0009,-100,0.16,0.73111,9.8362
16000,0.0009,-100,0.18,0.68222,10.081
16000,0.0009,-100,0.2,0.63667,9.9524
16000,0.0009,-90,0.02,0.88222,10.063
16000,0.0009,-90,0.04,0.84889,9.9709
16000,0.0009,-90,0.06,0.81667,9.9514
16000,0.0009,-90,0.08,0.78222,9.8323
16000,0.0009,-90,0.1,0.73222,9.8552
16000,0.0009,-90,0.12,0.68444,9.8798
16000,0.0009,-90,0.14,0.63333,9.7987
16000,0.0009,-90,0.16,0.57333,9.8229
16000,0.0009,-90,0.18,0.52778,9.8003
16000,0.0009,-90,0.2,0.48,9.7162
16000,0.0009,-80,0.02,0.80889,9.7636
16000,0.0009,-80,0.04,0.74889,9.7003
16000,0.0009,-80,0.06,0.68556,9.8841
16000,0.0009,-80,0.08,0.63222,9.8884
16000,0.0009,-80,0.1,0.56111,10.602
16000,0.0009,-80,0.12,0.50444,10.329
16000,0.0009,-80,0.14,0.45889,10.154
16000,0.0009,-80,0.16,0.41556,10.852
16000,0.0009,-80,0.18,0.36889,10.543
16000,0.0009,-80,0.2,0.34,9.7848
16000,0.001,-120,0.02,0.98,8.9721
16000,0.001,-120,0.04,0.97333,9.0985
16000,0.001,-120,0.06,0.96444,9.16
16000,0.001,-120,0.08,0.96,8.9725
16000,0.001,-120,0.1,0.95333,8.9329
16000,0.001,-120,0.12,0.93889,8.9396
16000,0.001,-120,0.14,0.92667,8.8895
16000,0.001,-120,0.16,0.91111,8.8952
16000,0.001,-120,0.18,0.88111,8.98
16000,0.001,-120,0.2,0.85111,8.7583
16000,0.001,-110,0.02,0.96444,8.8633
16000,0.001,-110,0.04,0.95,8.9953
16000,0.001,-110,0.06,0.94444,8.8719
16000,0.001,-110,0.08,0.93222,8.9231
16000,0.001,-110,0.1,0.91111,8.8494
16000,0.001,-110,0.12,0.89,8.7495
16000,0.001,-110,0.14,0.85778,8.7725
16000,0.001,-110,0.16,0.82222,8.7435
16000,0.001,-110,0.18,0.79333,8.7784
16000,0.001,-110,0.2,0.76111,8.7393
16000,0.001,-100,0.02,0.93778,8.7334
16000,0.001,-100,0.04,0.91889,8.9432
16000,0.001,-100,0.06,0.88667,8.834
16000,0.001,-100,0.08,0.86444,9.0007
16000,0.001,-100,0.1,0.82444,8.9632
16000,0.001,-100,0.12,0.80111,8.9084
16000,0.001,-100,0.14,0.75778,9.1048
16000,0.001,-100,0.16,0.71778,8.9097
16000,0.001,-100,0.18,0.66333,8.9912
16000,0.001,-100,0.2,0.61778,8.7909
16000,0.001,-90,0.02,0.87778,8.7712
16000,0.001,-90,0.04,0.84667,8.7826
16000,0.001,-90,0.06,0.80444,8.7589
16000,0.001,-90,0.08,0.76778,8.8155
16000,0.001,-90,0.1,0.72222,8.8007
16000,0.001,-90,0.12,0.67,8.785
16000,0.001,-90,0.14,0.60889,8.8422
16000,0.001,-90,0.16,0.56,8.8454
16000,0.001,-90,0.18,0.50444,8.7853
16000,0.001,-90,0.2,0.46222,9.2213
16000,0.001,-80,0.02,0.80111,11.224
16000,0.001,-80,0.04,0.73667,9.9129
16000,0.001,-80,0.06,0.66667,9.3513
16000,0.001,-80,0.08,0.60889,9.0374
16000,0.001,-80,0.1,0.54111,9.9297
16000,0.001,-80,0.12,0.49333,9.361
16000,0.001,-80,0.14,0.43667,8.9007
16000,0.001,-80,0.16,0.39444,8.9927
16000,0.001,-80,0.18,0.35444,9.1456
16000,0.001,-80,0.2,0.32111,9.7303
