downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0005,-80,0.0008,0.94333,9.7639
16000,0.0005,-80,0.0009,0.94333,9.7734
16000,0.0005,-80,0.001,0.93333,9.7595
16000,0.0006,-120,0.0001,0.88889,11.002
16000,0.0006,-120,0.0002,0.88889,11.308
16000,0.0006,-120,0.0003,0.88889,11.413
16000,0.0006,-120,0.0004,0.88889,11.452
16000,0.0006,-120,0.0005,0.88889,11.421
16000,0.0006,-120,0.0006,0.88,11.423
16000,0.0006,-120,0.0007,0.88,11.366
16000,0.0006,-120,0.0008,0.88,11.405
16000,0.0006,-120,0.0009,0.88,11.558
16000,0.0006,-120,0.001,0.88,11.362
16000,0.0006,-110,0.0001,0.88889,11.297
16000,0.0006,-110,0.0002,0.88889,11.428
16000,0.0006,-110,0.0003,0.88889,11.343
16000,0.0006,-110,0.0004,0.88889,11.113
16000,0.0006,-110,0.0005,0.88889,11.097
16000,0.0006,-110,0.0006,0.98667,10.982
16000,0.0006,-110,0.0007,0.98667,11.238
16000,0.0006,-110,0.0008,0.98667,11.4
16000,0.0006,-110,0.0009,0.98667,12.306
16000,0.0006,-110,0.001,0.98667,12.353
16000,0.0006,-100,0.0001,0.88889,12.181
16000,0.0006,-100,0.0002,0.88889,12.268
16000,0.0006,-100,0.0003,0.88889,13.515
16000,0.0006,-100,0.0004,0.88889,13.367
16000,0.0006,-100,0.0005,0.88889,12.795
16000,0.0006,-100,0.0006,0.98778,12.584
16000,0.0006,-100,0.0007,0.98778,11.614
16000,0.0006,-100,0.0008,0.98778,12.154
16000,0.0006,-100,0.0009,0.98778,12.269
16000,0.0006,-100,0.001,0.98778,12.976
16000,0.0006,-90,0.0001,0.88889,12.925
16000,0.0006,-90,0.0002,0.88889,12.593
16000,0.0006,-90,0.0003,0.88889,12.142
16000,0.0006,-90,0.0004,0.88889,12.083
16000,0.0006,-90,0.0005,0.88889,11.917
16000,0.0006,-90,0.0006,0.97778,12.086
16000,0.0006,-90,0.0007,0.97778,11.171
16000,0.0006,-90,0.0008,0.97778,11.218
16000,0.0006,-90,0.0009,0.97778,11.224
16000,0.0006,-90,0.001,0.97778,11.299
16000,0.0006,-80,0.0001,0.88889,11.221
16000,0.0006,-80,0.0002,0.88889,11.222
16000,0.0006,-80,0.0003,0.88889,11.223
16000,0.0006,-80,0.0004,0.88889,11.191
16000,0.0006,-80,0.0005,0.88889,11.124
16000,0.0006,-80,0.0006,0.95778,11.311
16000,0.0006,-80,0.0007,0.95778,11.21
16000,0.0006,-80,0.0008,0.95778,11.571
16000,0.0006,-80,0.0009,0.95778,12.332
16000,0.0006,-80,0.001,0.95778,12.311
16000,0.0007,-120,0.0001,0.88889,11.727
16000,0.0007,-120,0.0002,0.88889,11.541
16000,0.0007,-120,0.0003,0.88889,12.139
16000,0.0007,-120,0.0004,0.88889,12.324
16000,0.0007,-120,0.0005,0.88889,12.067
16000,0.0007,-120,0.0006,0.88889,12.04
16000,0.0007,-120,0.0007,0.98222,12.161
16000,0.0007,-120,0.0008,0.98222,11.257
16000,0.0007,-120,0.0009,0.98222,11.21
16000,0.0007,-120,0.001,0.98222,11.1
16000,0.0007,-110,0.0001,0.88889,11.046
16000,0.0007,-110,0.0002,0.88889,11.071
16000,0.0007,-110,0.0003,0.88889,11.007
16000,0.0007,-110,0.0004,0.88889,11.008
16000,0.0007,-110,0.0005,0.88889,11.025
16000,0.0007,-110,0.0006,0.88889,10.791
16000,0.0007,-110,0.0007,0.98778,10.716
16000,0.0007,-110,0.0008,0.98778,10.771
16000,0.0007,-110,0.0009,0.98778,10.682
16000,0.0007,-110,0.001,0.98778,10.827
16000,0.0007,-100,0.0001,0.88889,11.084
16000,0.0007,-100,0.0002,0.88889,10.81
16000,0.0007,-100,0.0003,0.88889,10.787
16000,0.0007,-100,0.0004,0.88889,10.68
16000,0.0007,-100,0.0005,0.88889,10.804
16000,0.0007,-100,0.0006,0.88889,10.758
16000,0.0007,-100,0.0007,0.98222,10.826
16000,0.0007,-100,0.0008,0.98222,10.698
16000,0.0007,-100,0.0009,0.98222,10.897
16000,0.0007,-100,0.001,0.98222,10.801
16000,0.0007,-90,0.0001,0.88889,10.722
16000,0.0007,-90,0.0002,0.88889,10.746
16000,0.0007,-90,0.0003,0.88889,10.719
16000,0.0007,-90,0.0004,0.88889,10.792
16000,0.0007,-90,0.0005,0.88889,10.732
16000,0.0007,-90,0.0006,0.88889,10.758
